title,year,genre,cast_hint,director,plot_hint,tagline_text
Braveheart,1995,"Action, Drama, History","Mel Gibson, Catherine McCormack, Sophie Marceau",Mel Gibson,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","Every man dies, not every man really lives."
Clueless,1995,"Comedy, Romance","Alicia Silverstone, Stacey Dash, Brittany Murphy",Amy Heckerling,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Sex. Clothes. Popularity. Whatever.
Die Hard,1988,"Action, Thriller","Bruce Willis, Alan Rickman, Alexander Godunov",John McTiernan,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office's Christmas Party, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",40 stories of sheer adventure!
Dunkirk,2017,"War, Action, Drama","Fionn Whitehead, Tom Hardy, Mark Rylance",Christopher Nolan,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.","When 400,000 men couldn't get home, home came for them."
E.T. the Extra-Terrestrial,1982,"Science Fiction, Adventure, Family","Henry Thomas, Drew Barrymore, Robert MacNaughton",Steven Spielberg,"An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.","He is afraid. He is totally alone. He is 3,000,000 light years from home."
Edward Scissorhands,1990,"Fantasy, Drama, Romance","Johnny Depp, Winona Ryder, Dianne Wiest",Tim Burton,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,Innocence is what he knows. Beauty is what she sees.
Ferris Bueller's Day Off,1986,Comedy,"Matthew Broderick, Alan Ruck, Mia Sara",John Hughes,"After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.",Leisure rules.
Fight Club,1999,"Drama, Thriller","Edward Norton, Brad Pitt, Helena Bonham Carter",David Fincher,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Mischief. Mayhem. Soap.
Finding Nemo,2003,"Animation, Family, Adventure","Albert Brooks, Ellen DeGeneres, Alexander Gould",Andrew Stanton,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",There are 3.7 trillion fish in the ocean. They're looking for one.
Forrest Gump,1994,"Comedy, Drama, Romance","Tom Hanks, Robin Wright, Gary Sinise",Robert Zemeckis,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",The world will never be the same once you've seen it through the eyes of Forrest Gump.
Frozen,2013,"Animation, Family, Adventure","Idina Menzel, Kristen Bell, Jonathan Groff","Chris Buck, Jennifer Lee","Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",Who will save the day? The ice guy? The nice guy? The snow man? Or no man?
Get Out,2017,"Mystery, Thriller, Horror","Daniel Kaluuya, Allison Williams, Catherine Keener",Jordan Peele,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","Just because you're invited, doesn't mean you're welcome."
Ghostbusters,1984,"Comedy, Fantasy","Bill Murray, Dan Aykroyd, Sigourney Weaver",Ivan Reitman,"After losing their university jobs, three parapsychologists start a ghost-catching business in New York City and uncover a supernatural threat that could destroy the world.",They're here to save the world.
Gladiator,2000,"Action, Drama, Adventure","Russell Crowe, Joaquin Phoenix, Connie Nielsen",Ridley Scott,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",What we do in life echoes in eternity.
GoodFellas,1990,"Drama, Crime","Robert De Niro, Ray Liotta, Joe Pesci",Martin Scorsese,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",Three decades of life in the mafia.
Groundhog Day,1993,"Romance, Fantasy, Comedy","Bill Murray, Andie MacDowell, Chris Elliott",Harold Ramis,"A cynical TV weatherman, along with his idealistic producer and his sardonic cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",He’s having the worst day of his life… Over and over again.
Guardians of the Galaxy,2014,"Action, Science Fiction, Adventure","Chris Pratt, Zoe Saldaña, Dave Bautista",James Gunn,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","When things get bad, they'll do their worst."
Halloween,1978,"Horror, Thriller","Donald Pleasence, Jamie Lee Curtis, Nancy Kyes",John Carpenter,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",The night he came home!
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint",David Yates,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",It all ends.
Harry Potter and the Philosopher's Stone,2001,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",Chris Columbus,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",Let the magic begin.
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",Alfonso Cuarón,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",Something wicked this way comes.
Home Alone,1990,"Comedy, Family","Macaulay Culkin, Joe Pesci, Daniel Stern",Chris Columbus,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. When thieves try to break into his home, he puts up a fight like no other.",A family comedy without the family.
Home Alone 2: Lost in New York,1992,"Comedy, Family, Adventure","Macaulay Culkin, Joe Pesci, Daniel Stern",Chris Columbus,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",He's up past his bedtime in the city that never sleeps.
Inception,2010,"Action, Science Fiction, Adventure","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",Christopher Nolan,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.
Indiana Jones and the Last Crusade,1989,"Adventure, Action","Harrison Ford, Sean Connery, Denholm Elliott",Steven Spielberg,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",Have the adventure of your life keeping up with the Joneses.
Interstellar,2014,"Adventure, Drama, Science Fiction","Matthew McConaughey, Anne Hathaway, Michael Caine",Christopher Nolan,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Mankind was born on Earth. It was never meant to die here.
Iron Man,2008,"Action, Science Fiction, Adventure","Robert Downey Jr., Terrence Howard, Jeff Bridges",Jon Favreau,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Heroes aren't born. They're built.
Jaws,1975,"Horror, Thriller, Adventure","Roy Scheider, Robert Shaw, Richard Dreyfuss",Steven Spielberg,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again.",The terrifying motion picture from the terrifying No. 1 best seller.
Jurassic Park,1993,"Adventure, Science Fiction","Sam Neill, Laura Dern, Jeff Goldblum",Steven Spielberg,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",An adventure 65 million years in the making.
Jurassic World,2015,"Action, Adventure, Science Fiction","Chris Pratt, Bryce Dallas Howard, Irrfan Khan",Colin Trevorrow,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park is open.
Legally Blonde,2001,Comedy,"Reese Witherspoon, Luke Wilson, Selma Blair",Robert Luketic,"Fashionable sorority queen Elle Woods has it all, but, she wants nothing more than to be Mrs. Warner Huntington III. But he dumps her before heading to Harvard Law School. Elle rallies all of her resources and gets into Harvard, determined to win him back. While there, she figures out that there is more to herself than just good looks.",Boldly going where no blonde has gone.
Mad Max: Fury Road,2015,"Action, Adventure, Science Fiction","Tom Hardy, Charlize Theron, Nicholas Hoult",George Miller,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",The future belongs to the mad.
Man of Steel,2013,"Action, Adventure, Science Fiction","Henry Cavill, Amy Adams, Russell Crowe",Zack Snyder,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",You are not alone.
Mean Girls,2004,"Drama, Comedy","Lindsay Lohan, Rachel McAdams, Lizzy Caplan",Mark Waters,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Watch your back.
Mrs. Doubtfire,1993,"Comedy, Drama, Family","Robin Williams, Sally Field, Lisa Jakub",Chris Columbus,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as a British nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.
Over the Top,1987,"Action, Drama","Sylvester Stallone, Robert Loggia, Susan Blakely",Menahem Golan,"Lincoln Hawk a hard-luck big-rig trucker takes us under the glaring Las Vegas lights for all the boisterous action of the World Armwrestling Championship. Relying on wits and willpower, Hawk tries to rebuild his life by capturing the first-place prize money, and the love of the son he abandoned years earlier into the keeping of his rich, ruthless father-in-law.",Some fight for money... Some fight for glory... He's fighting for his son's love.
Pulp Fiction,1994,"Thriller, Crime, Comedy","John Travolta, Samuel L. Jackson, Uma Thurman",Quentin Tarantino,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",You won’t know the facts until you’ve seen the fiction.
Raiders of the Lost Ark,1981,"Adventure, Action","Harrison Ford, Karen Allen, Paul Freeman",Steven Spielberg,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",The return of the great adventure.
Rambo: First Blood Part II,1985,"Action, Adventure, Thriller","Sylvester Stallone, Richard Crenna, Charles Napier",George P. Cosmatos,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,"No man, no law, no war can stop him."
Return of the Jedi,1983,"Adventure, Action, Science Fiction","Mark Hamill, Harrison Ford, Carrie Fisher",Richard Marquand,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, the Emperor prepares to crush the Rebellion with a more powerful Death Star, and the Rebel fleet mounts a massive attack on the space station. Luke Skywalker confronts Darth Vader in a final climactic duel before the evil Emperor.",Return to a galaxy far far away.
Rocky,1976,Drama,"Sylvester Stallone, Talia Shire, Burt Young",John G. Avildsen,"Rocky Balboa is a Philadelphia club fighter who seems to be going nowhere. But when a stroke of fate puts him in the ring with a world heavyweight champion, Rocky knows that it's his one shot at the big time — a once-in-a-lifetime opportunity to go the distance and come out a winner!",His whole life was a million-to-one shot.
Rocky II,1979,Drama,"Sylvester Stallone, Talia Shire, Burt Young",Sylvester Stallone,"After Rocky goes the distance with champ Apollo Creed, both try to put the fight behind them and move on. Rocky settles down with Adrian but can't put his life together outside the ring, while Creed seeks a rematch to restore his reputation. Soon enough, the ""Master of Disaster"" and the ""Italian Stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.",Once he fought for a dream. Now he's fighting for love!
Saving Private Ryan,1998,"War, Drama, History","Tom Hanks, Tom Sizemore, Edward Burns",Steven Spielberg,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",The mission is a man.
Schindler's List,1993,"Drama, History, War","Liam Neeson, Ben Kingsley, Ralph Fiennes",Steven Spielberg,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"Whoever saves one life, saves the world entire."
Scream,2022,"Horror, Mystery","Melissa Barrera, Jenna Ortega, Mason Gooding","Tyler Gillett, Matt Bettinelli-Olpin","Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",It's always someone you know.
Se7en,1995,"Crime, Mystery, Thriller","Morgan Freeman, Brad Pitt, Gwyneth Paltrow",David Fincher,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Gluttony. Greed. Sloth. Envy. Wrath. Pride. Lust.
Shrek,2001,"Animation, Comedy, Fantasy","Mike Myers, Eddie Murphy, Cameron Diaz","Andrew Adamson, Vicky Jenson","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",The greatest fairy tale never told.
Shrek 2,2004,"Animation, Family, Comedy","Mike Myers, Eddie Murphy, Cameron Diaz","Andrew Adamson, Kelly Asbury, Conrad Vernon","Happily ever after never seemed so far far away when a trip to meet the in-laws turns into a hilariously twisted adventure for Shrek and Fiona. With the help of his faithful Donkey, Shrek takes on a potion-brewing Fairy Godmother, the pompous Prince Charming, and the ogre-killer, Puss In Boots.",What happens after happily ever after?
Signs,2002,"Thriller, Science Fiction, Horror","Mel Gibson, Joaquin Phoenix, Rory Culkin",M. Night Shyamalan,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,It's not like they didn't warn us.
Spider-Man,2002,"Action, Science Fiction","Tobey Maguire, Willem Dafoe, Kirsten Dunst",Sam Raimi,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",With great power comes great responsibility
Spider-Man: No Way Home,2021,"Action, Adventure, Science Fiction","Tom Holland, Zendaya, Benedict Cumberbatch",Jon Watts,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",The Multiverse unleashed.
Star Wars,1977,"Adventure, Action, Science Fiction","Mark Hamill, Harrison Ford, Carrie Fisher",George Lucas,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away..."
Step Brothers,2008,Comedy,"Will Ferrell, John C. Reilly, Richard Jenkins",Adam McKay,"Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye.",They grow up so fast.
Superbad,2007,Comedy,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse",Greg Mottola,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Come and get some!
Superman,2025,"Science Fiction, Adventure, Action","David Corenswet, Rachel Brosnahan, Nicholas Hoult",James Gunn,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",Look up.
Terminator 2: Judgment Day,1991,"Action, Thriller, Science Fiction","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",James Cameron,"Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse.",It's nothing personal.
The Avengers,2012,"Science Fiction, Action, Adventure","Robert Downey Jr., Chris Evans, Mark Ruffalo",Joss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.
The Breakfast Club,1985,"Comedy, Drama","Emilio Estevez, Judd Nelson, Molly Ringwald",John Hughes,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.","They only met once, but it changed their lives forever."
The Dark Knight,2008,"Action, Crime, Thriller","Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Welcome to a world without rules.
The Dark Knight Rises,2012,"Action, Crime, Drama","Christian Bale, Gary Oldman, Tom Hardy",Christopher Nolan,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The legend ends.
The Empire Strikes Back,1980,"Adventure, Action, Science Fiction","Mark Hamill, Harrison Ford, Carrie Fisher",Irvin Kershner,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",The Star Wars saga continues.
The Exorcist,1973,Horror,"Ellen Burstyn, Linda Blair, Jason Miller",William Friedkin,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.","Something almost beyond comprehension is happening to a girl on this street, in this house…And a man has been sent for as a last resort. This man is The Exorcist."
The Godfather,1972,"Drama, Crime","Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",An offer you can't refuse.
The Godfather Part II,1974,"Drama, Crime","Al Pacino, Robert Duvall, Diane Keaton",Francis Ford Coppola,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",The rise and fall of the Corleone empire.
The Green Mile,1999,"Fantasy, Drama, Crime","Tom Hanks, David Morse, Bonnie Hunt",Frank Darabont,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",Paul Edgecomb didn't believe in miracles. Until the day he met one.
The Hangover,2009,Comedy,"Bradley Cooper, Ed Helms, Zach Galifianakis",Todd Phillips,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",Some guys just can't handle Vegas.
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy, Action","Martin Freeman, Ian McKellen, Richard Armitage",Peter Jackson,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",From the smallest beginnings come the greatest legends.
